ID рассылки;ID компании;Страница
27364;98092495;(пусто)
27364;98093093;https://www.pulscen.ru/about/promo/Realnyye_bonusy_dlya_prodvizheniya?utm_campaign=27364_29861109_2020-06-17&utm_content=17-06-2020&utm_medium=email&utm_source=1&utm_term=280800_98093093
27364;98093299;(пусто)
27364;98093727;https://www.pulscen.ru/about/promo/Realnyye_bonusy_dlya_prodvizheniya?utm_campaign=27364_29861109_2020-06-17&utm_content=17-06-2020&utm_medium=email&utm_source=1&utm_term=284398_98093727
27364;98094102;https://www.pulscen.ru/about/promo/Realnyye_bonusy_dlya_prodvizheniya?utm_campaign=27364_29861109_2020-06-17&utm_content=17-06-2020&utm_medium=email&utm_source=1&utm_term=286553_98094102
27364;98094171;https://www.pulscen.ru/about/promo/Realnyye_bonusy_dlya_prodvizheniya?utm_campaign=27364_29861109_2020-06-17&utm_content=17-06-2020&utm_medium=email&utm_source=1&utm_term=476351_98094171
27364;98095286;(пусто)
27364;98095949;https://www.pulscen.ru/about/promo/Realnyye_bonusy_dlya_prodvizheniya?utm_campaign=27364_29861109_2020-06-17&utm_content=17-06-2020&utm_medium=email&utm_source=1&utm_term=20332918_98095949
27364;98096469;https://www.pulscen.ru/about/promo/Realnyye_bonusy_dlya_prodvizheniya?utm_campaign=27364_29861109_2020-06-17&utm_content=17-06-2020&utm_medium=email&utm_source=1&utm_term=310992_98096469
27364;98114791;(пусто)
27364;98114907;(пусто)
27364;98115107;https://www.pulscen.ru/about/promo/Realnyye_bonusy_dlya_prodvizheniya?utm_campaign=27364_29861109_2020-06-17&utm_content=17-06-2020&utm_medium=email&utm_source=1&utm_term=2189152_98115107
27364;98117629;https://www.pulscen.ru/about/promo/Realnyye_bonusy_dlya_prodvizheniya?utm_campaign=27364_29861109_2020-06-17&utm_content=17-06-2020&utm_medium=email&utm_source=1&utm_term=325702_98117629
27364;98117896;(пусто)
27364;98118316;(пусто)
27364;98119095;https://www.pulscen.ru/about/promo/Realnyye_bonusy_dlya_prodvizheniya?utm_campaign=27364_29861109_2020-06-17&utm_content=17-06-2020&utm_medium=email&utm_source=1&utm_term=307745_98119095
27364;98119101;(пусто)
27364;98120169;(пусто)
27364;98120503;(пусто)
27364;98120877;(пусто)
27364;98120996;(пусто)
27364;98122390;(пусто)
27364;98122859;(пусто)
27364;98122899;(пусто)
27364;98122921;(пусто)
27364;98123251;(пусто)
27364;98123876;(пусто)
27364;98124301;(пусто)
